"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hipStreamCreate",3,643083086,214361028,76.853015296938
"hipMemcpyAsync",3,135291734,45097244,16.168327124453818
"hipLaunchKernel",4,46775951,11693987,5.5900597543189345
"hipMemcpy",1,9909184,9909184,1.184218161091821
"hipStreamDestroy",3,1256777,418925,0.15019381493395373
"hipEventRecord",6,381316,63552,0.04556998157617103
"hipMalloc",3,34105,11368,0.004075790739584264
"hipFree",3,15931,5310,0.0019038681211645478
"hipEventCreate",6,13707,2284,0.0016380842594188975
"hipEventDestroy",6,1901,316,0.00022718305808384944
"hipEventSynchronize",3,1482,494,0.00017710956974238026
"hipDeviceSynchronize",1,1383,1383,0.00016527836366647227
"__hipPushCallConfiguration",4,1291,322,0.00015428370751512343
"hipEventElapsedTime",1,1213,1213,0.00014496215121289287
"__hipPopCallConfiguration",4,740,185,8.843527773911025e-05
"hipGetLastError",3,342,114,4.087143917131852e-05
