Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,TCP_TCC_READ_REQ_sum,TCP_TCC_WRITE_REQ_sum,TCC_EA_RDREQ_sum,TCC_EA_WRREQ_sum
0,"__amd_rocclr_initHeap.kd",4,0,0,77604,77604,256,256,0,0,12,4,16,64,0x0,0x14fa49055c40,0.0000000000,2050.0000000000,22.0000000000,2048.0000000000
1,"transpose_SM_kernel(float*, float*, int, int) [clone .kd]",4,0,1,77604,77604,16777216,256,1024,1024,44,68,48,64,0x0,0x14fa49028b40,16528479.0000000000,80740352.0000000000,2033041.0000000000,24525598.0000000000
2,"transpose_SM_kernel(float*, float*, int, int) [clone .kd]",4,0,2,77604,77604,16777216,256,1024,1024,44,68,48,64,0x0,0x14fa49028b40,16621395.0000000000,80740352.0000000000,2062405.0000000000,24803467.0000000000
3,"transpose_SM_kernel(float*, float*, int, int) [clone .kd]",4,0,3,77604,77604,16777216,256,1024,1024,44,68,48,64,0x0,0x14fa49028b40,16666517.0000000000,80740352.0000000000,2083096.0000000000,24766561.0000000000
4,"transpose_SM_kernel(float*, float*, int, int) [clone .kd]",4,0,4,77604,77604,16777216,256,1024,1024,44,68,48,64,0x0,0x14fa49028b40,16648851.0000000000,80740352.0000000000,2079040.0000000000,24871518.0000000000
5,"transpose_SM_kernel(float*, float*, int, int) [clone .kd]",4,0,5,77604,77604,16777216,256,1024,1024,44,68,48,64,0x0,0x14fa49028b40,16746927.0000000000,80740352.0000000000,2113188.0000000000,24937957.0000000000
6,"transpose_SM_kernel(float*, float*, int, int) [clone .kd]",4,0,6,77604,77604,16777216,256,1024,1024,44,68,48,64,0x0,0x14fa49028b40,16563511.0000000000,80740352.0000000000,2058974.0000000000,24686136.0000000000
7,"transpose_SM_kernel(float*, float*, int, int) [clone .kd]",4,0,7,77604,77604,16777216,256,1024,1024,44,68,48,64,0x0,0x14fa49028b40,16706744.0000000000,80740352.0000000000,2098565.0000000000,24969529.0000000000
8,"transpose_SM_kernel(float*, float*, int, int) [clone .kd]",4,0,8,77604,77604,16777216,256,1024,1024,44,68,48,64,0x0,0x14fa49028b40,16588947.0000000000,80740352.0000000000,2065242.0000000000,24749791.0000000000
9,"transpose_SM_kernel(float*, float*, int, int) [clone .kd]",4,0,9,77604,77604,16777216,256,1024,1024,44,68,48,64,0x0,0x14fa49028b40,16733944.0000000000,80740352.0000000000,2110046.0000000000,25019518.0000000000
10,"transpose_SM_kernel(float*, float*, int, int) [clone .kd]",4,0,10,77604,77604,16777216,256,1024,1024,44,68,48,64,0x0,0x14fa49028b40,16549294.0000000000,80740352.0000000000,2043968.0000000000,24624597.0000000000
11,"transpose_SM_kernel(float*, float*, int, int) [clone .kd]",4,0,12,77604,77604,16777216,256,1024,1024,44,68,48,64,0x0,0x14fa49028b40,16587443.0000000000,80740352.0000000000,2056705.0000000000,24694791.0000000000
12,"transpose_SM_kernel(float*, float*, int, int) [clone .kd]",4,0,13,77604,77604,16777216,256,1024,1024,44,68,48,64,0x0,0x14fa49028b40,16648474.0000000000,80740352.0000000000,2075295.0000000000,24878819.0000000000
13,"transpose_SM_kernel(float*, float*, int, int) [clone .kd]",4,0,14,77604,77604,16777216,256,1024,1024,44,68,48,64,0x0,0x14fa49028b40,16659465.0000000000,80740352.0000000000,2093142.0000000000,24816683.0000000000
14,"transpose_SM_kernel(float*, float*, int, int) [clone .kd]",4,0,15,77604,77604,16777216,256,1024,1024,44,68,48,64,0x0,0x14fa49028b40,16628090.0000000000,80740352.0000000000,2067280.0000000000,24779110.0000000000
15,"transpose_SM_kernel(float*, float*, int, int) [clone .kd]",4,0,16,77604,77604,16777216,256,1024,1024,44,68,48,64,0x0,0x14fa49028b40,16664041.0000000000,80740352.0000000000,2074857.0000000000,24761231.0000000000
16,"transpose_SM_kernel(float*, float*, int, int) [clone .kd]",4,0,17,77604,77604,16777216,256,1024,1024,44,68,48,64,0x0,0x14fa49028b40,16675235.0000000000,80740352.0000000000,2079683.0000000000,24804865.0000000000
17,"transpose_SM_kernel(float*, float*, int, int) [clone .kd]",4,0,18,77604,77604,16777216,256,1024,1024,44,68,48,64,0x0,0x14fa49028b40,16630575.0000000000,80740352.0000000000,2074510.0000000000,24835188.0000000000
18,"transpose_SM_kernel(float*, float*, int, int) [clone .kd]",4,0,19,77604,77604,16777216,256,1024,1024,44,68,48,64,0x0,0x14fa49028b40,16503524.0000000000,80740352.0000000000,2031031.0000000000,24467233.0000000000
19,"transpose_SM_kernel(float*, float*, int, int) [clone .kd]",4,0,20,77604,77604,16777216,256,1024,1024,44,68,48,64,0x0,0x14fa49028b40,16671018.0000000000,80740352.0000000000,2101491.0000000000,24924716.0000000000
20,"transpose_SM_kernel(float*, float*, int, int) [clone .kd]",4,0,21,77604,77604,16777216,256,1024,1024,44,68,48,64,0x0,0x14fa49028b40,16545545.0000000000,80740352.0000000000,2041209.0000000000,24517266.0000000000
