Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,TCP_TCC_READ_REQ_sum,TCP_TCC_WRITE_REQ_sum,TCC_EA_RDREQ_sum,TCC_EA_WRREQ_sum
0,"__amd_rocclr_initHeap.kd",4,0,0,62108,62108,256,256,0,0,12,4,16,64,0x0,0x1531e73f5c40,0.0000000000,2050.0000000000,22.0000000000,2048.0000000000
1,"transpose_SM_nobc_kernel(float*, float*, int, int) [clone .kd]",4,0,1,62108,62108,16777216,256,1536,1024,44,68,48,64,0x0,0x1531e73d0b40,16732307.0000000000,80740352.0000000000,2124329.0000000000,24942710.0000000000
2,"transpose_SM_nobc_kernel(float*, float*, int, int) [clone .kd]",4,0,2,62108,62108,16777216,256,1536,1024,44,68,48,64,0x0,0x1531e73d0b40,16838155.0000000000,80740352.0000000000,2145564.0000000000,25233488.0000000000
3,"transpose_SM_nobc_kernel(float*, float*, int, int) [clone .kd]",4,0,3,62108,62108,16777216,256,1536,1024,44,68,48,64,0x0,0x1531e73d0b40,16472334.0000000000,80740352.0000000000,2022240.0000000000,24494641.0000000000
4,"transpose_SM_nobc_kernel(float*, float*, int, int) [clone .kd]",4,0,4,62108,62108,16777216,256,1536,1024,44,68,48,64,0x0,0x1531e73d0b40,16652723.0000000000,80740352.0000000000,2099574.0000000000,24831729.0000000000
5,"transpose_SM_nobc_kernel(float*, float*, int, int) [clone .kd]",4,0,5,62108,62108,16777216,256,1536,1024,44,68,48,64,0x0,0x1531e73d0b40,16810155.0000000000,80740352.0000000000,2130716.0000000000,25052216.0000000000
6,"transpose_SM_nobc_kernel(float*, float*, int, int) [clone .kd]",4,0,6,62108,62108,16777216,256,1536,1024,44,68,48,64,0x0,0x1531e73d0b40,16795415.0000000000,80740352.0000000000,2124470.0000000000,24971000.0000000000
7,"transpose_SM_nobc_kernel(float*, float*, int, int) [clone .kd]",4,0,7,62108,62108,16777216,256,1536,1024,44,68,48,64,0x0,0x1531e73d0b40,16790385.0000000000,80740352.0000000000,2136294.0000000000,25204438.0000000000
8,"transpose_SM_nobc_kernel(float*, float*, int, int) [clone .kd]",4,0,8,62108,62108,16777216,256,1536,1024,44,68,48,64,0x0,0x1531e73d0b40,16669419.0000000000,80740352.0000000000,2098458.0000000000,24822584.0000000000
9,"transpose_SM_nobc_kernel(float*, float*, int, int) [clone .kd]",4,0,9,62108,62108,16777216,256,1536,1024,44,68,48,64,0x0,0x1531e73d0b40,16973357.0000000000,80740352.0000000000,2183818.0000000000,25457969.0000000000
10,"transpose_SM_nobc_kernel(float*, float*, int, int) [clone .kd]",4,0,10,62108,62108,16777216,256,1536,1024,44,68,48,64,0x0,0x1531e73d0b40,16824603.0000000000,80740352.0000000000,2123129.0000000000,24968324.0000000000
11,"transpose_SM_nobc_kernel(float*, float*, int, int) [clone .kd]",4,0,12,62108,62108,16777216,256,1536,1024,44,68,48,64,0x0,0x1531e73d0b40,16715353.0000000000,80740352.0000000000,2117794.0000000000,24843220.0000000000
12,"transpose_SM_nobc_kernel(float*, float*, int, int) [clone .kd]",4,0,13,62108,62108,16777216,256,1536,1024,44,68,48,64,0x0,0x1531e73d0b40,16774961.0000000000,80740352.0000000000,2135181.0000000000,24984004.0000000000
13,"transpose_SM_nobc_kernel(float*, float*, int, int) [clone .kd]",4,0,14,62108,62108,16777216,256,1536,1024,44,68,48,64,0x0,0x1531e73d0b40,16488478.0000000000,80740352.0000000000,2027373.0000000000,24472879.0000000000
14,"transpose_SM_nobc_kernel(float*, float*, int, int) [clone .kd]",4,0,15,62108,62108,16777216,256,1536,1024,44,68,48,64,0x0,0x1531e73d0b40,16780852.0000000000,80740352.0000000000,2110833.0000000000,24924616.0000000000
15,"transpose_SM_nobc_kernel(float*, float*, int, int) [clone .kd]",4,0,16,62108,62108,16777216,256,1536,1024,44,68,48,64,0x0,0x1531e73d0b40,16824813.0000000000,80740352.0000000000,2144037.0000000000,25065267.0000000000
16,"transpose_SM_nobc_kernel(float*, float*, int, int) [clone .kd]",4,0,17,62108,62108,16777216,256,1536,1024,44,68,48,64,0x0,0x1531e73d0b40,16764981.0000000000,80740352.0000000000,2138042.0000000000,25218074.0000000000
17,"transpose_SM_nobc_kernel(float*, float*, int, int) [clone .kd]",4,0,18,62108,62108,16777216,256,1536,1024,44,68,48,64,0x0,0x1531e73d0b40,16531668.0000000000,80740352.0000000000,2044734.0000000000,24611120.0000000000
18,"transpose_SM_nobc_kernel(float*, float*, int, int) [clone .kd]",4,0,19,62108,62108,16777216,256,1536,1024,44,68,48,64,0x0,0x1531e73d0b40,16503004.0000000000,80740352.0000000000,2038159.0000000000,24584576.0000000000
19,"transpose_SM_nobc_kernel(float*, float*, int, int) [clone .kd]",4,0,20,62108,62108,16777216,256,1536,1024,44,68,48,64,0x0,0x1531e73d0b40,16779514.0000000000,80740352.0000000000,2150640.0000000000,25091757.0000000000
20,"transpose_SM_nobc_kernel(float*, float*, int, int) [clone .kd]",4,0,21,62108,62108,16777216,256,1536,1024,44,68,48,64,0x0,0x1531e73d0b40,16522889.0000000000,80740352.0000000000,2040611.0000000000,24604822.0000000000
