Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,TCP_TCC_READ_REQ_sum,TCP_TCC_WRITE_REQ_sum,TCC_EA_RDREQ_sum,TCC_EA_WRREQ_sum
0,"__amd_rocclr_initHeap.kd",4,0,0,52896,52896,256,256,0,0,12,4,16,64,0x0,0x14eed9f75c40,0.0000000000,2050.0000000000,20.0000000000,2048.0000000000
1,"copy_kernel(float*, float*, int, int) [clone .kd]",4,0,1,52896,52896,16777216,256,0,1024,44,52,48,64,0x0,0x14eed9f48b00,8805836.0000000000,39845888.0000000000,1623999.0000000000,16994062.0000000000
2,"copy_kernel(float*, float*, int, int) [clone .kd]",4,0,2,52896,52896,16777216,256,0,1024,44,52,48,64,0x0,0x14eed9f48b00,8672777.0000000000,39845888.0000000000,1474265.0000000000,16474820.0000000000
3,"copy_kernel(float*, float*, int, int) [clone .kd]",4,0,3,52896,52896,16777216,256,0,1024,44,52,48,64,0x0,0x14eed9f48b00,8738346.0000000000,39845888.0000000000,1506165.0000000000,16677636.0000000000
4,"copy_kernel(float*, float*, int, int) [clone .kd]",4,0,4,52896,52896,16777216,256,0,1024,44,52,48,64,0x0,0x14eed9f48b00,8700818.0000000000,39845888.0000000000,1516371.0000000000,16618161.0000000000
5,"copy_kernel(float*, float*, int, int) [clone .kd]",4,0,5,52896,52896,16777216,256,0,1024,44,52,48,64,0x0,0x14eed9f48b00,8645357.0000000000,39845888.0000000000,1443726.0000000000,16157876.0000000000
6,"copy_kernel(float*, float*, int, int) [clone .kd]",4,0,6,52896,52896,16777216,256,0,1024,44,52,48,64,0x0,0x14eed9f48b00,8735572.0000000000,39845888.0000000000,1519027.0000000000,16761360.0000000000
7,"copy_kernel(float*, float*, int, int) [clone .kd]",4,0,7,52896,52896,16777216,256,0,1024,44,52,48,64,0x0,0x14eed9f48b00,8687856.0000000000,39845888.0000000000,1455413.0000000000,16491464.0000000000
8,"copy_kernel(float*, float*, int, int) [clone .kd]",4,0,8,52896,52896,16777216,256,0,1024,44,52,48,64,0x0,0x14eed9f48b00,8657294.0000000000,39845888.0000000000,1406425.0000000000,16335104.0000000000
9,"copy_kernel(float*, float*, int, int) [clone .kd]",4,0,9,52896,52896,16777216,256,0,1024,44,52,48,64,0x0,0x14eed9f48b00,8692848.0000000000,39845888.0000000000,1457800.0000000000,16502979.0000000000
10,"copy_kernel(float*, float*, int, int) [clone .kd]",4,0,10,52896,52896,16777216,256,0,1024,44,52,48,64,0x0,0x14eed9f48b00,8689569.0000000000,39845888.0000000000,1456860.0000000000,16435245.0000000000
11,"copy_kernel(float*, float*, int, int) [clone .kd]",4,0,12,52896,52896,16777216,256,0,1024,44,52,48,64,0x0,0x14eed9f48b00,8731026.0000000000,39845888.0000000000,1520361.0000000000,16592840.0000000000
12,"copy_kernel(float*, float*, int, int) [clone .kd]",4,0,13,52896,52896,16777216,256,0,1024,44,52,48,64,0x0,0x14eed9f48b00,8691194.0000000000,39845888.0000000000,1476426.0000000000,16483030.0000000000
13,"copy_kernel(float*, float*, int, int) [clone .kd]",4,0,14,52896,52896,16777216,256,0,1024,44,52,48,64,0x0,0x14eed9f48b00,8670180.0000000000,39845888.0000000000,1442459.0000000000,16394973.0000000000
14,"copy_kernel(float*, float*, int, int) [clone .kd]",4,0,15,52896,52896,16777216,256,0,1024,44,52,48,64,0x0,0x14eed9f48b00,8640370.0000000000,39845888.0000000000,1392008.0000000000,16255369.0000000000
15,"copy_kernel(float*, float*, int, int) [clone .kd]",4,0,16,52896,52896,16777216,256,0,1024,44,52,48,64,0x0,0x14eed9f48b00,8740078.0000000000,39845888.0000000000,1548310.0000000000,16758264.0000000000
16,"copy_kernel(float*, float*, int, int) [clone .kd]",4,0,17,52896,52896,16777216,256,0,1024,44,52,48,64,0x0,0x14eed9f48b00,8858631.0000000000,39845888.0000000000,1669946.0000000000,17259451.0000000000
17,"copy_kernel(float*, float*, int, int) [clone .kd]",4,0,18,52896,52896,16777216,256,0,1024,44,52,48,64,0x0,0x14eed9f48b00,8654930.0000000000,39845888.0000000000,1403899.0000000000,16360344.0000000000
18,"copy_kernel(float*, float*, int, int) [clone .kd]",4,0,19,52896,52896,16777216,256,0,1024,44,52,48,64,0x0,0x14eed9f48b00,8739955.0000000000,39845888.0000000000,1518494.0000000000,16801141.0000000000
19,"copy_kernel(float*, float*, int, int) [clone .kd]",4,0,20,52896,52896,16777216,256,0,1024,44,52,48,64,0x0,0x14eed9f48b00,8708097.0000000000,39845888.0000000000,1480731.0000000000,16618791.0000000000
20,"copy_kernel(float*, float*, int, int) [clone .kd]",4,0,21,52896,52896,16777216,256,0,1024,44,52,48,64,0x0,0x14eed9f48b00,8747982.0000000000,39845888.0000000000,1519805.0000000000,16817401.0000000000
