Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,TCP_TCC_READ_REQ_sum,TCP_TCC_WRITE_REQ_sum,TCC_EA_RDREQ_sum,TCC_EA_WRREQ_sum
0,"__amd_rocclr_initHeap.kd",4,0,0,54603,54603,256,256,0,0,12,4,16,64,0x0,0x147bd47e5c40,0.0000000000,2050.0000000000,20.0000000000,2048.0000000000
1,"transpose_naive_kernel(float*, float*, int, int) [clone .kd]",4,0,1,54603,54603,16777216,256,0,1024,44,52,48,64,0x0,0x147bd47b8b40,9468592.0000000000,44040192.0000000000,1479614.0000000000,16215032.0000000000
2,"transpose_naive_kernel(float*, float*, int, int) [clone .kd]",4,0,2,54603,54603,16777216,256,0,1024,44,52,48,64,0x0,0x147bd47b8b40,9501565.0000000000,44040192.0000000000,1581730.0000000000,16578622.0000000000
3,"transpose_naive_kernel(float*, float*, int, int) [clone .kd]",4,0,3,54603,54603,16777216,256,0,1024,44,52,48,64,0x0,0x147bd47b8b40,9525918.0000000000,44040192.0000000000,1628101.0000000000,16645709.0000000000
4,"transpose_naive_kernel(float*, float*, int, int) [clone .kd]",4,0,4,54603,54603,16777216,256,0,1024,44,52,48,64,0x0,0x147bd47b8b40,9533028.0000000000,44040192.0000000000,1629869.0000000000,16679512.0000000000
5,"transpose_naive_kernel(float*, float*, int, int) [clone .kd]",4,0,5,54603,54603,16777216,256,0,1024,44,52,48,64,0x0,0x147bd47b8b40,9495404.0000000000,44040192.0000000000,1609743.0000000000,16344997.0000000000
6,"transpose_naive_kernel(float*, float*, int, int) [clone .kd]",4,0,6,54603,54603,16777216,256,0,1024,44,52,48,64,0x0,0x147bd47b8b40,9514015.0000000000,44040192.0000000000,1605390.0000000000,16614700.0000000000
7,"transpose_naive_kernel(float*, float*, int, int) [clone .kd]",4,0,7,54603,54603,16777216,256,0,1024,44,52,48,64,0x0,0x147bd47b8b40,9442198.0000000000,44040192.0000000000,1489210.0000000000,16256588.0000000000
8,"transpose_naive_kernel(float*, float*, int, int) [clone .kd]",4,0,8,54603,54603,16777216,256,0,1024,44,52,48,64,0x0,0x147bd47b8b40,9475019.0000000000,44040192.0000000000,1535934.0000000000,16453221.0000000000
9,"transpose_naive_kernel(float*, float*, int, int) [clone .kd]",4,0,9,54603,54603,16777216,256,0,1024,44,52,48,64,0x0,0x147bd47b8b40,9572109.0000000000,44040192.0000000000,1695084.0000000000,16923286.0000000000
10,"transpose_naive_kernel(float*, float*, int, int) [clone .kd]",4,0,10,54603,54603,16777216,256,0,1024,44,52,48,64,0x0,0x147bd47b8b40,9516383.0000000000,44040192.0000000000,1590436.0000000000,16571459.0000000000
11,"transpose_naive_kernel(float*, float*, int, int) [clone .kd]",4,0,12,54603,54603,16777216,256,0,1024,44,52,48,64,0x0,0x147bd47b8b40,9595606.0000000000,44040192.0000000000,1702123.0000000000,16914846.0000000000
12,"transpose_naive_kernel(float*, float*, int, int) [clone .kd]",4,0,13,54603,54603,16777216,256,0,1024,44,52,48,64,0x0,0x147bd47b8b40,9485236.0000000000,44040192.0000000000,1583443.0000000000,16365899.0000000000
13,"transpose_naive_kernel(float*, float*, int, int) [clone .kd]",4,0,14,54603,54603,16777216,256,0,1024,44,52,48,64,0x0,0x147bd47b8b40,9582399.0000000000,44040192.0000000000,1685371.0000000000,16902901.0000000000
14,"transpose_naive_kernel(float*, float*, int, int) [clone .kd]",4,0,15,54603,54603,16777216,256,0,1024,44,52,48,64,0x0,0x147bd47b8b40,9594739.0000000000,44040192.0000000000,1712668.0000000000,16953613.0000000000
15,"transpose_naive_kernel(float*, float*, int, int) [clone .kd]",4,0,16,54603,54603,16777216,256,0,1024,44,52,48,64,0x0,0x147bd47b8b40,9422864.0000000000,44040192.0000000000,1499790.0000000000,16144526.0000000000
16,"transpose_naive_kernel(float*, float*, int, int) [clone .kd]",4,0,17,54603,54603,16777216,256,0,1024,44,52,48,64,0x0,0x147bd47b8b40,9846181.0000000000,44040192.0000000000,2125555.0000000000,18188995.0000000000
17,"transpose_naive_kernel(float*, float*, int, int) [clone .kd]",4,0,18,54603,54603,16777216,256,0,1024,44,52,48,64,0x0,0x147bd47b8b40,9598574.0000000000,44040192.0000000000,1727114.0000000000,16960723.0000000000
18,"transpose_naive_kernel(float*, float*, int, int) [clone .kd]",4,0,19,54603,54603,16777216,256,0,1024,44,52,48,64,0x0,0x147bd47b8b40,9427635.0000000000,44040192.0000000000,1474284.0000000000,16217325.0000000000
19,"transpose_naive_kernel(float*, float*, int, int) [clone .kd]",4,0,20,54603,54603,16777216,256,0,1024,44,52,48,64,0x0,0x147bd47b8b40,9492314.0000000000,44040192.0000000000,1565733.0000000000,16438700.0000000000
20,"transpose_naive_kernel(float*, float*, int, int) [clone .kd]",4,0,21,54603,54603,16777216,256,0,1024,44,52,48,64,0x0,0x147bd47b8b40,9578669.0000000000,44040192.0000000000,1720814.0000000000,16794569.0000000000
