"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hipStreamCreate",3,630914738,210304912,81.3187674995279
"hipStreamSynchronize",3,74726616,24908872,9.63153330637602
"hipLaunchKernel",4,45379402,11344850,5.848963129635451
"hipStreamDestroy",3,14790974,4930324,1.9064125520516244
"hipMemcpy",1,9947965,9947965,1.2821958407451894
"hipMemcpyAsync",3,47493,15831,0.006121385335042019
"hipMallocAsync",3,37422,12474,0.004823331480595929
"hipFree",3,6032,2010,0.0007774660758632527
"hipDeviceSynchronize",1,1393,1393,0.00017954413854070144
"__hipPushCallConfiguration",4,862,215,0.00011110340805605502
"__hipPopCallConfiguration",4,581,145,7.488524371295588e-05
"hipGetLastError",3,310,103,3.9955982015518625e-05
