"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hipStreamCreate",4,654204881,163551220,59.79462407235804
"hipMemcpy",4,200113492,50028373,18.290464307842466
"hipEventSynchronize",16,190259866,11891241,17.389838403738867
"hipLaunchKernel",13,23098708,1776823,2.1112324312009667
"hipHostMalloc",1,16139792,16139792,1.47518433945474
"hipHostFree",1,3402179,3402179,0.3109607100774153
"hipMemcpyAsync",16,3400937,212558,0.31084719071176287
"hipStreamDestroy",4,1762925,440731,0.16113214790086808
"hipEventRecord",32,1585700,49553,0.14493370218608648
"hipMalloc",1,40158,40158,0.003670459489429817
"hipFree",1,31230,31230,0.002854436223290333
"hipEventElapsedTime",16,17224,1076,0.0015742814444429296
"hipEventCreate",10,16732,1673,0.0015293124203680387
"hipEventDestroy",10,7304,730,0.0006675889265101695
"__hipPushCallConfiguration",13,3067,235,0.00028032519682457416
"__hipPopCallConfiguration",13,2257,173,0.0002062908279207903
