Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,TCC_EA_WRREQ_64B_sum,TCC_EA_WRREQ_sum,SQ_INSTS_VMEM_RD,SQ_INSTS_VMEM_WR,TCP_TCC_READ_REQ_sum,TCP_TCC_WRITE_REQ_sum,TCC_EA_RDREQ_sum,TCC_EA_RDREQ_32B_sum
0,"__amd_rocclr_initHeap.kd",4,0,0,42892,42892,256,256,0,0,12,4,16,64,0x0,0x14c0880fdc40,2048.0000000000,2048.0000000000,0,130,0.0000000000,2050.0000000000,20.0000000000,0.0000000000
1,"copy_kernel(float*, float*, unsigned long, unsigned long, int) [clone .kd]",4,0,1,42892,42892,16777216,256,0,1024,44,60,48,64,0x0,0x14c0880d0b40,38062492.0000000000,38062492.0000000000,10223616,11010048,28124350.0000000000,48234496.0000000000,10297623.0000000000,0.0000000000
2,"copy_kernel(float*, float*, unsigned long, unsigned long, int) [clone .kd]",4,0,2,42892,42892,16777216,256,0,1024,44,60,48,64,0x0,0x14c0880d0b40,34901497.0000000000,34901497.0000000000,10223616,11010048,29629721.0000000000,50331648.0000000000,10351174.0000000000,0.0000000000
3,"copy_kernel(float*, float*, unsigned long, unsigned long, int) [clone .kd]",4,0,3,42892,42892,16777216,256,0,1024,44,60,48,64,0x0,0x14c0880d0b40,30902293.0000000000,30902293.0000000000,10223616,11010048,32435607.0000000000,54525952.0000000000,9362088.0000000000,0.0000000000
4,"copy_kernel(float*, float*, unsigned long, unsigned long, int) [clone .kd]",4,0,4,42892,42892,16777216,256,0,1024,44,60,48,64,0x0,0x14c0880d0b40,42402957.0000000000,42815089.0000000000,10223616,11010048,42889676.0000000000,62914560.0000000000,10915519.0000000000,0.0000000000
5,"copy_kernel(float*, float*, unsigned long, unsigned long, int) [clone .kd]",4,0,5,42892,42892,16777216,256,0,1024,44,60,48,64,0x0,0x14c0880d0b40,43563717.0000000000,43918119.0000000000,10223616,11010048,43938237.0000000000,63963136.0000000000,11268029.0000000000,0.0000000000
6,"copy_kernel(float*, float*, unsigned long, unsigned long, int) [clone .kd]",4,0,6,42892,42892,16777216,256,0,1024,44,60,48,64,0x0,0x14c0880d0b40,42647081.0000000000,44043458.0000000000,10223616,11010048,43943647.0000000000,63963136.0000000000,12225677.0000000000,0.0000000000
7,"copy_kernel(float*, float*, unsigned long, unsigned long, int) [clone .kd]",4,0,7,42892,42892,16777216,256,0,1024,44,60,48,64,0x0,0x14c0880d0b40,44327029.0000000000,51112429.0000000000,10223616,11010048,43955008.0000000000,63963136.0000000000,17255254.0000000000,0.0000000000
8,"copy_kernel(float*, float*, unsigned long, unsigned long, int) [clone .kd]",4,0,8,42892,42892,16777216,256,0,1024,44,60,48,64,0x0,0x14c0880d0b40,44540567.0000000000,63791536.0000000000,10223616,11010048,43936742.0000000000,63963136.0000000000,31207945.0000000000,0.0000000000
9,"copy_kernel(float*, float*, unsigned long, unsigned long, int) [clone .kd]",4,0,9,42892,42892,16777216,256,0,1024,44,60,48,64,0x0,0x14c0880d0b40,50608733.0000000000,52978725.0000000000,10223616,11010048,37772330.0000000000,58458112.0000000000,21151943.0000000000,0.0000000000
